c1,c2,c3,reward
1.0,0.0,0.0,-0.0355576436660358
0.9,0.0,0.0,-0.030353191736048
1.1,0.0,0.0,-0.0386510469844115
1.0,-0.1,0.0,-0.0319726942841787
1.0,0.1,0.0,-0.0341574079611068
1.0,0.0,-0.1,-0.0397220335799439
1.0,0.0,0.1,-0.029061793260185
0.8,-0.2,0.2,-0.0155512273732143
0.7,-0.2,0.2,-0.0126097579635875
0.9,-0.2,0.2,-0.0216340487451183
0.8,-0.3,0.2,-0.0149496414273503
0.8,-0.1,0.2,-0.0202804583972096
0.8,-0.2,0.1,-0.0229951556730909
0.8,-0.2,0.3,-0.0152451979768468
0.9,-0.2,0.3,-0.015510680309406
0.7,-0.2,0.3,-0.0106735867975861
0.8,-0.3,0.3,-0.0101024011921401
0.8,-0.1,0.3,-0.0182750778594111
0.8,-0.2,0.4,-0.0128372708347421
0.9,0.0,0.1,-0.0294316770273022
0.7,-0.3,0.3,-0.0108542315293193
0.7,-0.1,0.3,-0.0123292196447164
0.7,-0.2,0.4,-0.0078807426346696
0.7,0.0,0.5,-0.007746379519874
0.7,-0.3,0.4,-0.0073491182087808
0.7,-0.1,0.4,-0.0097282057909477
0.7,-0.2,0.5,-0.0087487056023879
0.9,-0.5,0.2,-0.0137371295779467
0.8,-0.3,0.4,-0.0073440494053305
0.7,-0.4,0.4,-0.0074579278288923
0.7,-0.3,0.5,-0.0080665331403712
0.8,-0.4,0.4,-0.0069978844976926
0.7,-0.5,0.4,-0.0087522127071519
0.7,-0.4,0.3,-0.0107354530494223
0.7,-0.4,0.5,-0.0066155743233642
0.8,-0.4,0.5,-0.0073452654414009
0.7,-0.5,0.5,-0.0051399615664931
0.7,-0.4,0.6,-0.0078071737995911
0.8,-0.5,0.5,-0.0059309058275497
0.7,-0.6,0.5,-0.0073056770278946
0.7,-0.5,0.6,-0.0097376432686385
0.8,-0.6,0.5,-0.0075505809957777
0.7,-0.6,0.4,-0.0082096688034922
0.7,-0.6,0.6,-0.0079597505592286
0.9,-0.6,0.6,-0.009487089222036
0.8,-0.6,0.6,-0.0086948958501762
0.7,-0.3,0.6,-0.0087463191157637
1.0,-0.6,0.6,-0.0096727987786276
0.8,-0.4,0.6,-0.0077235417169462
0.7,-0.6,0.3,-0.0084610023486274
1.0,-0.6,0.5,-0.0113013714404857
0.8,-0.5,0.6,-0.0100916978096708
0.8,-0.5,0.4,-0.0064185843429343
0.9,-0.6,0.4,-0.0077490578403669
0.9,-0.3,0.5,-0.0112785211463657
0.9,-0.5,0.6,-0.0084206498405905
0.7,-0.5,0.3,-0.0083813215973415
0.9,-0.6,0.5,-0.0068713521938826
0.9,-0.5,0.5,-0.0086919994950812
1.1,-0.6,0.4,-0.0143625522376251
0.7,-0.4,0.2,-0.0096001115990438
0.7,-0.5,0.2,-0.0100150144021532
0.8,-0.6,0.2,-0.0085160879516038
1.1,-0.6,0.5,-0.0171528512762302
1.0,-0.6,0.4,-0.0101436790539693
1.1,-0.6,0.6,-0.0123975108664839
0.9,-0.4,0.6,-0.0107694427039892
0.9,-0.6,0.2,-0.0124832420890717
1.1,-0.4,0.5,-0.0113207462754031
1.1,-0.4,0.6,-0.0159691824357977
0.8,-0.6,0.4,-0.0072759681196008
1.1,-0.3,0.2,-0.0258913024776811
1.0,-0.3,0.6,-0.0107183441649374
0.9,-0.3,0.2,-0.0164042641257053
1.1,-0.3,0.6,-0.0175230234556531
1.2,-0.6,0.6,-0.0188072234835882
0.7,-0.6,0.2,-0.0076832045037513
1.1,-0.6,0.3,-0.0176589595318024
1.1,-0.4,0.4,-0.0136461549150697
0.9,-0.4,0.5,-0.0105564390009039
0.9,-0.3,0.6,-0.0108006500402282
0.7,-0.2,0.6,-0.0089576186181917
1.0,-0.5,0.6,-0.0104122814747432
0.8,-0.4,0.3,-0.0088019712262495
0.9,-0.5,0.4,-0.0081862970948766
0.9,-0.5,0.3,-0.0110075955890005
0.9,-0.2,0.6,-0.0104284695443907
0.8,-0.6,0.3,-0.0096861258402113
1.0,-0.2,0.6,-0.0143456822916518
1.0,-0.3,0.3,-0.0168795439810364
0.9,-0.6,0.3,-0.0106552200956448
1.0,-0.6,0.3,-0.0151418305890222
1.0,-0.4,0.2,-0.0176748567202253
1.2,-0.4,0.6,-0.0172948201545373
0.9,-0.5,0.0,-0.0222640804540077
0.7,-0.6,0.0,-0.0124217691255899
1.1,-0.3,0.1,-0.0282638457715373
1.1,-0.6,0.2,-0.0206284365248264
1.0,-0.6,0.0,-0.0210939401234005
0.7,-0.4,0.1,-0.0121485440203811
1.2,-0.3,0.1,-0.0274028994950455
0.8,-0.6,0.1,-0.0120812588522143
1.1,-0.4,0.1,-0.0220880166384418
0.9,-0.6,0.1,-0.0174850499465815
0.7,-0.6,0.1,-0.0097424409257375
0.7,-0.5,0.1,-0.0110549223572911
0.8,-0.5,0.1,-0.0129180627928439
0.7,-0.5,0.0,-0.0148578678463178
0.9,-0.4,-0.1,-0.0240868950121577
0.8,-0.6,0.0,-0.0141254983525231
0.8,-0.3,-0.2,-0.0227858993007685
0.7,-0.5,-0.1,-0.0176248046616794
0.7,-0.6,-0.1,-0.0170943820662026
0.9,-0.6,-0.1,-0.0187645373942832
1.0,-0.5,0.1,-0.0186339527527341
0.8,-0.3,-0.1,-0.0228969935582572
0.9,-0.6,0.0,-0.0195880305620562
0.8,-0.6,-0.1,-0.0173850508177138
0.7,-0.4,-0.0,-0.0137027132519112
0.7,-0.4,-0.1,-0.0188732643962708
0.9,-0.4,0.2,-0.0138108405211982
1.0,-0.6,0.2,-0.0176512671091058
0.7,-0.3,0.0,-0.0180956905404093
0.8,-0.3,0.1,-0.0171059516873677
0.7,-0.5,-0.2,-0.01703108235737793
0.9,-0.6,-0.2,-0.02008889455802887
1.0,-0.3,0.1,-0.020563638389791458
0.8,-0.4,-0.0,-0.0167932943089985
1.0,-0.4,-0.1,-0.030484070800645163
0.7,-0.3,0.1,-0.013155790687317979
1.0,-0.4,0.1,-0.020292663477260355
0.8,-0.4,0.1,-0.014927852902095364
0.7,-0.2,-0.2,-0.022943581778422206
0.7,-0.3,-0.1,-0.020118653238140036
